date_time,h_r,p_f,p_r,f_p,f_r,c_p,c_r,ph_f,t_f
2021-06-01T13:42:48Z,0.001021,-0.003,0.053,0.068,1.035,491.192,12.829,7.138,20.036
2021-06-01T13:42:49Z,0.001088,-0.003,0.052,0.068,1.044,490.783,12.829,7.138,20.031
2021-06-01T13:42:49Z,0.001157,0.659,0.046,0.068,1.027,490.375,12.831,7.138,20.027
2021-06-01T13:42:49Z,0.001235,0.286,0.052,0.068,1.072,490.783,12.827,7.138,20.031
2021-06-01T13:42:50Z,0.001366,0.164,0.052,0.068,1.027,490.375,12.827,7.138,20.031
2021-06-01T13:42:50Z,0.001435,0.095,0.052,0.068,1.035,490.375,12.829,7.138,20.031
2021-06-01T13:42:50Z,0.001506,0.077,0.052,0.068,1.023,489.558,12.827,7.138,20.031
2021-06-01T13:42:50Z,0.001575,0.064,0.052,0.068,1.052,490.375,12.827,7.138,20.031
2021-06-01T13:42:51Z,0.001649,0.055,0.052,0.068,1.031,491.6,12.827,7.138,20.031
2021-06-01T13:42:51Z,0.001712,0.048,0.053,0.068,1.031,490.375,12.829,7.138,20.031
2021-06-01T13:42:51Z,0.001786,0.043,0.053,0.068,1.027,490.375,12.829,7.138,20.027
2021-06-01T13:42:51Z,0.001855,0.038,0.053,0.068,1.027,490.375,12.827,7.138,20.031
2021-06-01T13:42:52Z,0.001921,0.035,0.052,0.068,1.031,490.375,12.829,7.138,20.031
2021-06-01T13:42:52Z,0.001993,0.031,0.052,0.068,1.039,490.375,12.827,7.137,20.031
2021-06-01T13:42:52Z,0.002059,0.029,0.052,0.068,1.039,490.375,12.829,7.138,20.036
2021-06-01T13:42:52Z,0.002137,0.026,0.052,0.068,1.031,490.375,12.827,7.138,20.031
2021-06-01T13:42:53Z,0.002276,0.024,0.053,0.068,1.019,489.149,12.827,7.137,20.027
2021-06-01T13:42:53Z,0.002411,0.021,0.052,0.068,1.039,490.375,12.825,7.138,20.031
2021-06-01T13:42:54Z,0.002479,0.018,0.052,0.068,1.031,491.192,12.827,7.138,20.031
2021-06-01T13:42:54Z,0.002552,0.017,0.052,0.068,1.031,490.375,12.831,7.138,20.031
2021-06-01T13:42:54Z,0.002683,0.016,0.052,0.068,1.035,491.192,12.825,7.138,20.027
2021-06-01T13:42:55Z,0.002756,0.014,0.052,0.068,1.027,490.375,12.827,7.138,20.031
2021-06-01T13:42:55Z,0.002829,0.013,0.052,0.068,1.031,491.192,12.827,7.138,20.031
2021-06-01T13:42:55Z,0.002964,0.012,0.052,0.068,1.027,490.375,12.825,7.138,20.027
2021-06-01T13:42:56Z,0.003031,0.011,0.053,0.068,1.019,489.966,12.825,7.138,20.031
2021-06-01T13:42:56Z,0.0031,0.01,0.052,0.068,1.011,490.783,12.827,7.138,20.031
2021-06-01T13:42:56Z,0.003174,0.01,0.052,0.068,1.035,490.783,12.831,7.138,20.031
2021-06-01T13:42:56Z,0.003244,0.009,0.052,0.068,1.031,490.783,12.827,7.138,20.027
2021-06-01T13:42:57Z,0.003309,0.009,0.052,0.068,1.023,490.375,12.829,7.138,20.031
2021-06-01T13:42:57Z,0.003379,0.008,0.053,0.068,1.031,490.783,12.829,7.139,20.027
2021-06-01T13:42:57Z,0.003447,0.008,0.053,0.068,1.023,490.783,12.829,7.138,20.031
2021-06-01T13:42:57Z,0.00352,0.008,0.052,0.068,1.015,490.375,12.831,7.138,20.031
2021-06-01T13:42:58Z,0.003587,0.007,0.052,0.068,1.031,490.375,12.829,7.138,20.036
2021-06-01T13:42:58Z,0.003656,0.007,0.052,0.068,1.023,489.966,12.831,7.138,20.031
2021-06-01T13:42:58Z,0.003724,0.006,0.052,0.068,1.027,490.783,12.831,7.138,20.027
