date_time,h_r,p_f,p_r,f_p,f_r,c_p,c_r,t_f
2021-08-12T19:14:21Z,0.008401,0,0.042969,0,0.422988,27.411017,0.538795,22.378691
2021-08-12T19:14:22Z,0.008472,0,0.037735,0,0.422122,27.335568,0.538731,22.378691
2021-08-12T19:14:22Z,0.00854,0,0.043098,0,0.424527,27.166691,0.53819,22.383006
2021-08-12T19:14:22Z,0.008611,0,0.043098,0,0.424527,27.166691,0.53819,22.378691
2021-08-12T19:14:22Z,0.008678,0,0.04284,0,0.42497,26.925396,0.536985,22.383006
2021-08-12T19:14:23Z,0.008748,0,0.042904,0,0.423631,27.367868,0.537564,22.383006
2021-08-12T19:14:23Z,0.008818,0,0.037606,0,0.425411,27.476172,0.538229,22.378691
2021-08-12T19:14:23Z,0.008886,0,0.043033,0,0.426909,27.105811,0.536368,22.383006
2021-08-12T19:14:23Z,0.008958,0,0.043098,0,0.425154,27.42307,0.53725,22.383006
2021-08-12T19:14:24Z,0.009027,0,0.042904,0,0.423881,27.377757,0.537312,22.378691
2021-08-12T19:14:24Z,0.009096,0,0.037541,0,0.422971,27.169279,0.537922,22.383006
2021-08-12T19:14:24Z,0.009165,0,0.03767,0,0.421795,27.218946,0.538621,22.378691
2021-08-12T19:14:24Z,0.009233,0,0.043163,0,0.425673,27.314043,0.539419,22.383006
2021-08-12T19:14:25Z,0.009303,0,0.043098,0,0.418451,27.624714,0.540267,22.383006
2021-08-12T19:14:25Z,0.009375,0,0.043098,0,0.425409,27.625293,0.540267,22.383006
2021-08-12T19:14:25Z,0.009442,0,0.03767,0,0.426046,27.782159,0.539516,22.378691
2021-08-12T19:14:25Z,0.009511,0,0.03767,0,0.426225,28.071715,0.539342,22.383006
2021-08-12T19:14:26Z,0.009581,0,0.042969,0,0.426206,28.122537,0.539417,22.378691
2021-08-12T19:14:26Z,0.009651,0,0.042904,0,0.426709,27.693194,0.538701,22.383006
2021-08-12T19:14:26Z,0.009721,0,0.04284,0,0.43148,27.968041,0.53739,22.378691
2021-08-12T19:14:26Z,0.009789,0,0.03767,0,0.429109,27.670755,0.537628,22.378691
2021-08-12T19:14:27Z,0.009858,0,0.042969,0,0.428918,27.98162,0.538178,22.383006
2021-08-12T19:14:27Z,0.009929,0,0.042969,0,0.430432,27.756604,0.537466,22.383006
2021-08-12T19:14:27Z,0.01,0,0.043033,0,0.430134,27.746732,0.536921,22.378691
2021-08-12T19:14:27Z,0.010068,0,0.037864,0,0.42592,27.419083,0.53726,22.383006
2021-08-12T19:14:28Z,0.010136,0,0.0378,0,0.429338,27.598602,0.536449,22.383006
2021-08-12T19:14:28Z,0.010205,0,0.042969,0,0.427379,27.394303,0.536033,22.378691
2021-08-12T19:14:28Z,0.010275,0,0.043163,0,0.435394,27.93453,0.537351,22.383006
2021-08-12T19:14:29Z,0.010348,0,0.042904,0,0.42894,27.514175,0.536142,22.383006
2021-08-12T19:14:29Z,0.010484,0,0.037606,0,0.427778,27.56047,0.536547,22.383006
2021-08-12T19:14:29Z,0.010555,0,0.042969,0,0.429561,27.695743,0.537766,22.378691
2021-08-12T19:14:29Z,0.010623,0,0.04284,0,0.424728,27.807868,0.535696,22.374376
2021-08-12T19:14:30Z,0.010693,0,0.042904,0,0.423758,28.317165,0.535153,22.378691
2021-08-12T19:14:30Z,0.010762,0,0.042904,0,0.418471,28.339116,0.536981,22.378691
2021-08-12T19:14:30Z,0.010839,0,0.037735,0,0.420817,27.727161,0.538154,22.378691
2021-08-12T19:14:31Z,0.010969,0,0.043163,0,0.423294,28.415656,0.536444,22.378691
2021-08-12T19:14:31Z,0.011039,0,0.043033,0,0.418774,27.659889,0.537215,22.383006
2021-08-12T19:14:31Z,0.01111,0,0.037735,0,0.419952,27.393262,0.538768,22.378691
2021-08-12T19:14:31Z,0.011179,0,0.037476,0,0.420627,27.390606,0.537998,22.383006
2021-08-12T19:14:32Z,0.011249,0,0.042904,0,0.419524,27.525168,0.537696,22.378691
2021-08-12T19:14:32Z,0.011318,0,0.043033,0,0.422578,27.605255,0.537779,22.383006
2021-08-12T19:14:32Z,0.011388,0,0.042969,0,0.425174,27.364775,0.536213,22.378691
2021-08-12T19:14:32Z,0.011455,0,0.03767,0,0.434485,27.343213,0.53607,22.378691
2021-08-12T19:14:33Z,0.011527,0,0.03767,0,0.431778,27.54886,0.536568,22.387321
2021-08-12T19:14:33Z,0.011596,0,0.043163,0,0.426932,27.54886,0.537414,22.383006
2021-08-12T19:14:33Z,0.011665,0,0.043098,0,0.436868,27.54886,0.537599,22.378691
2021-08-12T19:14:34Z,0.011737,0,0.043033,0,0.423974,27.54886,0.537645,22.383006
2021-08-12T19:14:34Z,0.011874,0,0.042969,0,0.437595,27.54886,0.538902,22.378691
2021-08-12T19:14:34Z,0.011943,0,0.042969,0,0.420765,27.54886,0.536641,22.383006
2021-08-12T19:14:35Z,0.012151,0,0.0378,0,0.42459,27.54886,0.537974,22.378691
