date_time,p_f,p_r,f_p,f_r,c_p,c_r,ph_f,t_f
2021-06-01T12:58:22Z,-0.003,0.052,0.068,1.039,579.843,12.955,7.226,19.837
2021-06-01T12:58:22Z,-0.003,0.052,0.068,1.048,579.435,12.955,7.226,19.837
2021-06-01T12:58:23Z,0.643,0.045,0.068,1.039,579.435,12.957,7.226,19.837
2021-06-01T12:58:23Z,0.28,0.052,0.068,1.044,580.66,12.957,7.226,19.837
2021-06-01T12:58:23Z,0.17,0.052,0.068,1.035,579.435,12.957,7.226,19.837
2021-06-01T12:58:23Z,0.119,0.052,0.068,1.039,580.66,12.953,7.226,19.833
2021-06-01T12:58:24Z,0.093,0.051,0.068,1.031,579.843,12.957,7.226,19.833
2021-06-01T12:58:24Z,0.076,0.052,0.068,1.027,579.026,12.953,7.226,19.837
2021-06-01T12:58:24Z,0.064,0.051,0.068,1.039,579.435,12.957,7.226,19.833
2021-06-01T12:58:24Z,0.055,0.052,0.068,1.039,579.435,12.959,7.226,19.837
2021-06-01T12:58:25Z,0.049,0.052,0.068,1.039,579.843,12.957,7.226,19.837
2021-06-01T12:58:25Z,0.043,0.052,0.068,1.035,579.026,12.955,7.226,19.837
2021-06-01T12:58:25Z,0.038,0.052,0.068,1.035,579.435,12.955,7.226,19.837
2021-06-01T12:58:25Z,0.035,0.052,0.068,1.052,579.026,12.955,7.226,19.833
2021-06-01T12:58:26Z,0.031,0.052,0.068,1.003,579.435,12.955,7.226,19.833
2021-06-01T12:58:26Z,0.029,0.052,0.068,1.027,579.843,12.955,7.226,19.837
2021-06-01T12:58:26Z,0.026,0.052,0.068,1.027,579.435,12.957,7.226,19.837
2021-06-01T12:58:26Z,0.024,0.052,0.068,1.027,579.843,12.955,7.226,19.837
2021-06-01T12:58:27Z,0.022,0.052,0.068,1.031,579.843,12.955,7.226,19.833
2021-06-01T12:58:27Z,0.021,0.052,0.068,1.027,579.435,12.957,7.226,19.837
2021-06-01T12:58:27Z,0.019,0.052,0.068,1.035,579.843,12.955,7.226,19.829
2021-06-01T12:58:27Z,0.018,0.052,0.068,1.044,578.617,12.955,7.226,19.837
2021-06-01T12:58:28Z,0.017,0.052,0.068,1.048,579.843,12.957,7.226,19.837
2021-06-01T12:58:28Z,0.016,0.052,0.068,1.035,579.435,12.957,7.226,19.833
2021-06-01T12:58:28Z,0.015,0.052,0.068,1.027,579.843,12.957,7.226,19.837
2021-06-01T12:58:28Z,0.014,0.052,0.068,1.027,579.435,12.957,7.226,19.837
2021-06-01T12:58:29Z,0.013,0.052,0.068,1.023,579.435,12.955,7.226,19.837
2021-06-01T12:58:29Z,0.012,0.052,0.068,1.027,579.435,12.955,7.226,19.837
2021-06-01T12:58:29Z,0.012,0.052,0.068,1.027,580.252,12.959,7.226,19.842
2021-06-01T12:58:29Z,0.011,0.052,0.068,1.044,580.252,12.957,7.226,19.842
2021-06-01T12:58:30Z,0.01,0.052,0.068,1.003,579.843,12.959,7.226,19.837
2021-06-01T12:58:30Z,0.01,0.052,0.068,1.031,579.435,12.959,7.227,19.842
2021-06-01T12:58:30Z,0.009,0.052,0.068,1.031,579.026,12.955,7.226,19.837
2021-06-01T12:58:30Z,0.009,0.052,0.068,1.084,580.252,12.957,7.226,19.833
2021-06-01T12:58:31Z,0.008,0.052,0.068,1.048,579.843,12.957,7.226,19.837
2021-06-01T12:58:31Z,0.008,0.052,0.068,1.031,580.66,12.957,7.227,19.837
2021-06-01T12:58:31Z,0.007,0.052,0.068,0.99,580.252,12.957,7.226,19.842
2021-06-01T12:58:31Z,0.007,0.052,0.068,1.003,579.843,12.957,7.226,19.833
2021-06-01T12:58:32Z,0.007,0.052,0.068,1.031,579.435,12.957,7.227,19.837
2021-06-01T12:58:32Z,0.006,0.052,0.068,1.031,579.435,12.957,7.226,19.837
2021-06-01T12:58:32Z,0.006,0.052,0.068,1.031,579.435,12.959,7.226,19.833
2021-06-01T12:58:32Z,0.006,0.052,0.068,1.031,580.252,12.961,7.227,19.837
2021-06-01T12:58:33Z,0.005,0.053,0.068,1.048,578.617,12.959,7.227,19.842
2021-06-01T12:58:33Z,0.005,0.052,0.068,1.06,579.435,12.955,7.227,19.842
2021-06-01T12:58:33Z,0.005,0.052,0.068,1.044,579.435,12.955,7.226,19.833
2021-06-01T12:58:33Z,0.005,0.052,0.068,1.031,579.843,12.957,7.226,19.837
2021-06-01T12:58:34Z,0.004,0.053,0.068,1.031,579.843,12.953,7.226,19.837
2021-06-01T12:58:34Z,0.004,0.052,0.068,1.031,580.252,12.955,7.226,19.833
2021-06-01T12:58:34Z,0.004,0.052,0.068,1.056,579.435,12.955,7.226,19.842
2021-06-01T12:58:34Z,0.004,0.052,0.068,1.027,579.026,12.957,7.226,19.837
2021-06-01T12:58:35Z,0.003,0.052,0.068,1.007,579.026,12.953,7.226,19.842
2021-06-01T12:58:35Z,0.003,0.052,0.068,1.027,580.66,12.957,7.226,19.837
2021-06-01T12:58:35Z,0.003,0.052,0.068,1.031,579.843,12.955,7.227,19.837
2021-06-01T12:58:35Z,0.003,0.052,0.068,1.027,579.843,12.957,7.226,19.837
2021-06-01T12:58:36Z,0.003,0.053,0.068,1.031,579.843,12.957,7.226,19.837
2021-06-01T12:58:36Z,0.003,0.052,0.068,1.027,579.026,12.955,7.226,19.837
2021-06-01T12:58:36Z,0.003,0.053,0.068,1.052,579.843,12.957,7.227,19.837
2021-06-01T12:58:36Z,0.002,0.053,0.068,1.044,580.252,12.957,7.227,19.837
2021-06-01T12:58:37Z,0.002,0.052,0.068,1.035,579.843,12.959,7.227,19.837
2021-06-01T12:58:37Z,0.002,0.053,0.068,1.027,579.435,12.957,7.226,19.837
2021-06-01T12:58:37Z,0.002,0.052,0.068,1.023,580.66,12.955,7.226,19.837
2021-06-01T12:58:37Z,0.002,0.052,0.068,1.076,579.435,12.955,7.226,19.837
2021-06-01T12:58:38Z,0.002,0.052,0.068,1.044,579.026,12.955,7.226,19.842
2021-06-01T12:58:38Z,0.001,0.052,0.068,1.003,579.843,12.957,7.227,19.837
2021-06-01T12:58:38Z,0.001,0.052,0.068,1.031,579.843,12.957,7.227,19.842
2021-06-01T12:58:38Z,0.001,0.052,0.068,1.031,579.435,12.959,7.227,19.837
2021-06-01T12:58:39Z,0.001,0.052,0.068,1.031,579.435,12.959,7.227,19.837
2021-06-01T12:58:39Z,0.001,0.052,0.068,1.027,581.069,12.959,7.227,19.837
2021-06-01T12:58:39Z,0.001,0.052,0.068,1.031,580.66,12.957,7.227,19.837
2021-06-01T12:58:39Z,0.595,0.052,0.068,1.035,579.435,12.959,7.226,19.842
2021-06-01T12:58:40Z,0.455,0.052,0.068,1.031,579.843,12.959,7.227,19.837
