date_time,p_f,p_r,f_p,f_r,c_p,c_r,ph_f,t_f
2021-06-01T14:01:37Z,-0.003,0.051,0.068,1.031,430.321,15.061,7.393,19.911
2021-06-01T14:01:38Z,-0.003,0.051,0.068,1.031,431.138,15.061,7.392,19.919
2021-06-01T14:01:38Z,0.664,0.051,0.068,1.027,430.729,15.061,7.393,19.911
2021-06-01T14:01:38Z,0.272,0.044,0.068,1.027,431.138,15.063,7.393,19.915
2021-06-01T14:01:38Z,0.17,0.051,0.068,1.027,430.729,15.063,7.393,19.911
2021-06-01T14:01:39Z,0.122,0.051,0.068,1.027,430.729,15.063,7.392,19.911
2021-06-01T14:01:39Z,0.094,0.051,0.068,1.027,430.729,15.063,7.392,19.911
2021-06-01T14:01:39Z,0.077,0.051,0.068,1.023,430.729,15.058,7.393,19.911
2021-06-01T14:01:39Z,0.064,0.051,0.068,1.031,431.546,15.061,7.393,19.911
2021-06-01T14:01:40Z,0.055,0.051,0.068,1.027,430.729,15.067,7.393,19.915
2021-06-01T14:01:40Z,0.049,0.051,0.068,1.035,431.138,15.061,7.393,19.919
2021-06-01T14:01:40Z,0.043,0.051,0.068,1.031,431.546,15.056,7.393,19.915
2021-06-01T14:01:40Z,0.038,0.051,0.068,1.023,431.138,14.994,7.393,19.911
2021-06-01T14:01:41Z,0.034,0.051,0.068,1.027,430.321,14.994,7.393,19.911
2021-06-01T14:01:41Z,0.031,0.051,0.068,1.027,430.729,15,7.392,19.911
2021-06-01T14:01:41Z,0.029,0.051,0.068,1.023,430.321,14.994,7.392,19.911
2021-06-01T14:01:41Z,0.026,0.051,0.068,1.023,430.729,14.998,7.392,19.911
2021-06-01T14:01:42Z,0.024,0.051,0.068,1.031,431.138,14.994,7.393,19.911
2021-06-01T14:01:42Z,0.022,0.051,0.068,1.031,430.729,14.992,7.392,19.911
2021-06-01T14:01:42Z,0.021,0.051,0.068,1.023,430.321,14.994,7.392,19.911
2021-06-01T14:01:42Z,0.019,0.051,0.068,1.031,431.138,14.996,7.393,19.911
2021-06-01T14:01:43Z,0.018,0.051,0.068,1.023,431.138,14.996,7.393,19.911
