date_time,p_f,p_r,f_p,f_r,c_p,c_r,t_f
2021-08-13T01:24:04Z,0.914055,0.496047,2.257364,42.451345,414.576642,15.089996,21.0195
2021-08-13T01:24:04Z,0.92197,0.535655,2.26566,43.064013,414.337316,15.1281,21.041075
2021-08-13T01:24:04Z,0.849683,0.489973,2.280442,43.362109,414.263573,15.146747,21.041075
2021-08-13T01:24:05Z,0.880374,0.418121,2.314644,43.862076,414.727408,15.146747,21.049704
2021-08-13T01:24:05Z,0.877709,0.382713,2.314614,44.994951,413.52455200000003,15.150823,21.023815
2021-08-13T01:24:05Z,0.87375100000000006,0.347433,2.32004,44.171595,414.787887,15.161014,21.054019
2021-08-13T01:24:06Z,0.871571,0.316676,2.163886,42.272153,412.1089,15.161014,21.049704
2021-08-13T01:24:06Z,0.867775,0.265566,2.163886,39.645449,412.182071,15.155126,21.041075
2021-08-13T01:24:06Z,0.867209,0.223567,2.119186,36.692781,412.383152,15.129492,21.03676
2021-08-13T01:24:07Z,0.866078,0.206638,2.103129,35.110671,412.521396,15.123075,21.04539
2021-08-13T01:24:07Z,0.867371,0.191841,2.094187,34.647233,412.43916,15.123193,21.071279
2021-08-13T01:24:07Z,0.866725,0.179306,2.094187,27.249488,413.443669,15.077455,21.0195
2021-08-13T01:24:07Z,0.86624,0.167417,2.091548,24.612317,413.097794,15.077455,21.054019
2021-08-13T01:24:08Z,0.867128,0.157724,2.091548,22.417509,413.866721,15.071341,21.041075
2021-08-13T01:24:08Z,0.867371,0.143961,2.083432,20.290757,413.915343,15.061151,21.04539
2021-08-13T01:24:09Z,0.868178,0.132395,2.083432,18.549221,413.860397,15.051466,21.02813
2021-08-13T01:24:09Z,0.869148,0.125352,2.083432,15.194005,413.71768,15.016228,21.041075
2021-08-13T01:24:09Z,0.817133,0.116759,2.083432,12.436277,413.312167,14.985287,21.062649
2021-08-13T01:24:10Z,0.687257,0.104999,2.093798,10.755274,412.79815,14.958715,21.02813
2021-08-13T01:24:10Z,0.555282,0.081027,2.095642,8.320695,412.670836,14.936831,21.032445
2021-08-13T01:24:10Z,0.504317,0.065713,2.096827,7.175018,412.717799,14.909203,21.054019
2021-08-13T01:24:11Z,0.479441,0.060221,2.099237,5.687063,412.297056,14.88286,21.049704
2021-08-13T01:24:11Z,0.455937,0.05363,2.099948,4.411012,412.202977,14.868485,21.054019
2021-08-13T01:24:12Z,0.450364,0.051562,2.042352,1.830999,405.34513,14.860629,21.054019
2021-08-13T01:24:12Z,0.436714,0.048332,0,0.89053,401.979821,14.73303,21.049704
2021-08-13T01:24:13Z,0.433887,0.04607,0,0.89053,401.979821,14.73303,21.054019
2021-08-13T01:24:13Z,0.435987,0.044196,0,4.289362,402.202025,14.665775,21.058334
2021-08-13T01:24:13Z,0.435583,0.043098,0,4.041261,401.979821,14.665775,21.054019
2021-08-13T01:24:14Z,0.433645,0.04284,0,3.948996,401.979821,14.665775,21.058334
2021-08-13T01:24:14Z,0.432757,0.041935,0,4.08253,401.979821,14.665775,21.054019
