date_time,h_r,p_f,p_r,f_p,f_r,c_p,c_r,ph_f,t_f
2021-06-01T14:16:27Z,0.001459,-0.003,0.052,0.068,1.031,421.333,16.05,7.461,20.126
2021-06-01T14:16:27Z,0.001533,-0.003,0.052,0.068,1.019,421.741,15.988,7.461,20.131
2021-06-01T14:16:27Z,0.001595,0.596,0.052,0.068,1.027,421.741,15.984,7.461,20.131
2021-06-01T14:16:28Z,0.001664,0.283,0.051,0.068,1.023,422.15,15.986,7.461,20.126
2021-06-01T14:16:28Z,0.001736,0.165,0.045,0.068,1.035,422.15,15.986,7.46,20.126
2021-06-01T14:16:28Z,0.001805,0.121,0.051,0.068,1.076,421.333,15.984,7.46,20.126
2021-06-01T14:16:28Z,0.001878,0.094,0.052,0.068,1.039,421.741,15.986,7.46,20.126
2021-06-01T14:16:29Z,0.001942,0.076,0.051,0.068,1.023,421.741,15.986,7.46,20.126
2021-06-01T14:16:29Z,0.002013,0.064,0.052,0.068,1.015,422.558,15.984,7.458,20.126
2021-06-01T14:16:29Z,0.0020830000000000002,0.055,0.052,0.068,1.023,421.741,15.986,7.45,20.126
2021-06-01T14:16:29Z,0.00215,0.048,0.052,0.068,1.011,422.15,15.984,7.452,20.126
2021-06-01T14:16:30Z,0.002224,0.043,0.052,0.068,1.023,421.333,15.92,7.456,20.126
2021-06-01T14:16:30Z,0.002289,0.038,0.052,0.068,1.015,421.333,15.918,7.458,20.122
2021-06-01T14:16:30Z,0.002368,0.034,0.051,0.068,1.019,421.333,15.918,7.459,20.122
2021-06-01T14:16:30Z,0.002433,0.031,0.051,0.068,1.031,422.15,15.92,7.453,20.122
2021-06-01T14:16:31Z,0.002504,0.029,0.052,0.068,1.039,421.333,15.92,7.448,20.122
2021-06-01T14:16:31Z,0.002573,0.026,0.052,0.068,1.035,421.333,15.918,7.454,20.126
2021-06-01T14:16:31Z,0.002636,0.024,0.052,0.068,1.023,421.741,15.918,7.458,20.122
2021-06-01T14:16:31Z,0.002704,0.022,0.05,0.068,1.023,421.741,15.918,7.459,20.126
2021-06-01T14:16:32Z,0.002776,0.021,0.052,0.068,1.027,420.924,15.915,7.46,20.122
2021-06-01T14:16:32Z,0.002845,0.019,0.052,0.068,1.027,420.516,15.918,7.46,20.122
2021-06-01T14:16:32Z,0.002914,0.018,0.052,0.068,1.035,420.924,15.918,7.46,20.122
2021-06-01T14:16:32Z,0.002986,0.017,0.052,0.068,1.039,422.558,15.92,7.46,20.118
2021-06-01T14:16:33Z,0.003059,0.016,0.052,0.068,1.023,421.333,15.851,7.457,20.122
2021-06-01T14:16:33Z,0.003123,0.015,0.052,0.068,1.015,421.333,15.853,7.449,20.118
2021-06-01T14:16:33Z,0.003198,0.014,0.052,0.068,1.023,421.333,15.849,7.451,20.118
2021-06-01T14:16:33Z,0.003264,0.013,0.052,0.068,1.015,421.741,15.853,7.456,20.122
2021-06-01T14:16:34Z,0.003331,0.012,0.052,0.068,1.023,421.333,15.855,7.453,20.126
2021-06-01T14:16:34Z,0.0034,0.012,0.052,0.068,1.007,422.15,15.853,7.449,20.126
2021-06-01T14:16:34Z,0.003469,0.011,0.052,0.068,1.044,421.741,15.858,7.453,20.122
2021-06-01T14:16:34Z,0.003545,0.01,0.052,0.068,1.019,421.741,15.853,7.458,20.122
2021-06-01T14:16:35Z,0.003615,0.01,0.052,0.068,1.023,422.15,15.851,7.452,20.122
2021-06-01T14:16:35Z,0.003679,0.009,0.052,0.068,1.023,421.741,15.851,7.448,20.122
2021-06-01T14:16:35Z,0.003753,0.009,0.052,0.068,1.011,420.924,15.853,7.455,20.122
2021-06-01T14:16:35Z,0.003821,0.009,0.052,0.068,1.019,422.558,15.853,7.457,20.122
2021-06-01T14:16:36Z,0.003886,0.005,0.051,0.068,1.027,421.741,15.851,7.451,20.122
2021-06-01T14:16:36Z,0.003956,0.008,0.052,0.068,1.011,422.15,15.853,7.448,20.126
2021-06-01T14:16:36Z,0.004031,0.007,0.051,0.068,1.039,422.15,15.851,7.447,20.122
2021-06-01T14:16:36Z,0.004099,0.007,0.052,0.068,0.99,422.15,15.853,7.446,20.122
2021-06-01T14:16:37Z,0.0041660000000000004,0.006,0.051,0.068,1.027,421.333,15.858,7.445,20.122
