date_time,p_f,p_r,f_p,f_r,c_p,c_r,t_f
2021-08-12T23:53:00Z,0.997246,0.396863,2.707935,39.678224,365.746573,15.008283,21.153262
2021-08-12T23:53:00Z,0.9966,0.392017,2.676387,40.169697,368.864319,15.018352,21.170521
2021-08-12T23:53:01Z,0.823675,0.360356,2.632448,40.24394,368.864319,15.018352,21.157577
2021-08-12T23:53:01Z,0.904847,0.329987,2.590304,40.24394,368.864319,15.018352,21.136002
2021-08-12T23:53:01Z,0.901213,0.30259,2.573412,40.24394,368.864319,15.018352,21.157577
2021-08-12T23:53:02Z,0.887159,0.256132,2.487278,39.893179,367.466587,15.018352,21.157577
2021-08-12T23:53:02Z,0.881263,0.235197,2.460604,38.83831,366.606444,14.998591,21.144632
2021-08-12T23:53:02Z,0.878436,0.217364,2.341717,33.752416,367.37521,15.004017,21.144632
2021-08-12T23:53:03Z,0.87359,0.197915,2.258618,31.972114,367.844854,15.003419,21.153262
2021-08-12T23:53:03Z,0.87044,0.17446,2.218482,28.127695,367.090494,14.998381,21.157577
2021-08-12T23:53:03Z,0.866725,0.154494,2.203383,28.055997,367.087853,14.999548,21.144632
2021-08-12T23:53:04Z,0.865432,0.147321,2.172172,26.642836,367.009904,14.996886,21.136002
2021-08-12T23:53:04Z,0.862929,0.140472,2.149018,25.900407,366.96961,14.996139,21.153262
2021-08-12T23:53:04Z,0.864302,0.12826,2.12761,17.508966,369.025596,14.930717,21.148947
2021-08-12T23:53:05Z,0.865513,0.122122,2.12761,13.906249,367.509594,14.930717,21.153262
2021-08-12T23:53:05Z,0.866078,0.111202,2.12761,12.417755,367.636352,14.930717,21.144632
2021-08-12T23:53:06Z,0.866725,0.088457,2.13301,9.491113,367.109883,14.877729,21.144632
2021-08-12T23:53:06Z,0.723603,0.069202,2.088347,8.340192,367.454858,14.894422,21.166206
2021-08-12T23:53:06Z,0.57289,0.059058,2.079813,8.180819,367.531098,14.879436,21.161892
2021-08-12T23:53:07Z,0.534121,0.055698,2.168373,6.127655,365.685822,14.904515,21.166206
2021-08-12T23:53:07Z,0.500037,0.052919,2.178216,4.793098,365.814395,14.892287,21.161892
2021-08-12T23:53:08Z,0.462722,0.048913,0.145596,0.473687,355.317068,14.60871,21.157577
2021-08-12T23:53:08Z,0.449072,0.046587,0.145596,0.473687,355.317068,14.606672,21.166206
2021-08-12T23:53:09Z,0.444549,0.044519,0,0.473687,355.317068,14.539418,21.166206
2021-08-12T23:53:09Z,0.441156,0.043744,0,2.098626,355.894977,14.461973,21.157577
2021-08-12T23:53:09Z,0.439137,0.04271,0,2.694204,356.308024,14.461973,21.161892
2021-08-12T23:53:10Z,0.43728,0.042323,0,3.917369,356.146001,14.461973,21.166206
2021-08-12T23:53:10Z,0.436553,0.042129,0,3.132126,356.149137,14.461973,21.161892
2021-08-12T23:53:11Z,0.437199,0.041741,0,3.132126,356.381601,14.461973,21.161892
2021-08-12T23:53:11Z,0.437199,0.041224,0,2.943832,356.351928,14.403089,21.157577
2021-08-12T23:53:12Z,0.437603,0.040966,0,2.909197,356.23321,14.402871,21.161892
2021-08-12T23:53:12Z,0.436876,0.040901,0,2.829823,356.163771,14.400833,21.161892
2021-08-12T23:53:13Z,0.437441,0.040449,0,2.864155,356.25785,14.400833,21.161892
2021-08-12T23:53:13Z,0.438572,0.040772,0,2.864155,356.170043,14.400833,21.161892
2021-08-12T23:53:13Z,0.43833,0.040643,0,2.864155,356.15864,14.400833,21.166206
2021-08-12T23:53:14Z,0.438006,0.04019,0,2.877921,356.213376,14.400833,21.161892
2021-08-12T23:53:14Z,0.440591,0.040513,0,2.89683,356.172324,14.400833,21.166206
2021-08-12T23:53:15Z,0.440833,0.040255,0,2.910802,356.279801,14.400833,21.161892
2021-08-12T23:53:15Z,0.440914,0.040384,0,2.899866,356.210293,14.398795,21.166206
2021-08-12T23:53:16Z,0.441641,0.040384,0,2.893565,356.177211,14.398795,21.161892
2021-08-12T23:53:16Z,0.441803,0.040449,0,2.885706,356.24217,14.398795,21.161892
2021-08-12T23:53:17Z,0.442853,0.040513,0,2.878636,356.208043,14.398795,21.161892
2021-08-12T23:53:17Z,0.442933,0.040449,0,2.881336,356.180373,14.396756,21.166206
2021-08-12T23:53:18Z,0.444629,0.04032,0,2.900431,356.135772,14.399026,21.166206
2021-08-12T23:53:18Z,0.443418,0.040449,0,2.89028,356.069693,14.397489,21.166206
2021-08-12T23:53:18Z,0.444791,0.04019,0,2.879736,356.25219,14.396756,21.166206
2021-08-12T23:53:18Z,0.445114,0.04032,0,2.881733,356.069693,14.397331,21.166206
2021-08-12T23:53:19Z,0.445114,0.040384,0,2.882125,356.069693,14.398139,21.166206
2021-08-12T23:53:19Z,0.444064,0.04019,0,2.880608,356.069693,14.398033,21.161892
2021-08-12T23:53:19Z,0.446003,0.040384,0,2.880608,356.069693,14.398033,21.161892
2021-08-12T23:53:19Z,0.446164,0.040449,0,2.901453,356.069693,14.398117,21.161892
2021-08-12T23:53:20Z,0.446487,0.040384,0,2.914521,356.069693,14.398427,21.166206
2021-08-12T23:53:20Z,0.446568,0.040384,0,2.947147,356.069693,14.398984,21.161892
2021-08-12T23:53:20Z,0.446083,0.04019,0,2.957732,356.446006,14.39861,21.166206
2021-08-12T23:53:21Z,0.447214,0.04032,0,2.936009,356.069693,14.397121,21.166206
2021-08-12T23:53:21Z,0.448668,0.040513,0,2.957732,356.069693,14.39859,21.166206
2021-08-12T23:53:22Z,0.450364,0.039932,0,2.957732,356.257595,14.397445,21.166206
2021-08-12T23:53:22Z,0.451414,0.04032,0,2.957732,356.408788,14.396577,21.161892
2021-08-12T23:53:22Z,0.451737,0.040384,0,2.946795,356.424502,14.396873,21.166206
2021-08-12T23:53:22Z,0.451818,0.040449,0,2.960355,356.436598,14.39662,21.170521
2021-08-12T23:53:23Z,0.451899,0.040384,0,2.955574,356.446006,14.396891,21.161892
2021-08-12T23:53:23Z,0.451414,0.040255,0,2.951644,356.453385,14.397116,21.161892
2021-08-12T23:53:23Z,0.453029,0.040384,0,2.958827,356.45921,14.397305,21.170521
2021-08-12T23:53:24Z,0.454402,0.039932,0,2.957262,356.390549,14.397068,21.161892
2021-08-12T23:53:24Z,0.453676,0.040255,0,2.950143,356.268918,14.397396,21.161892
2021-08-12T23:53:24Z,0.454241,0.04019,0,2.967823,356.418312,14.397771,21.170521
2021-08-12T23:53:25Z,0.455856,0.040384,0,2.960217,356.455909,14.397325,21.166206
2021-08-12T23:53:25Z,0.454887,0.04032,0,2.960467,356.456758,14.397892,21.161892
2021-08-12T23:53:25Z,0.455129,0.040384,0,2.964399,356.613256,14.39858,21.161892
2021-08-12T23:53:25Z,0.454564,0.04019,0,2.961807,356.525229,14.398269,21.166206
2021-08-12T23:53:26Z,0.455695,0.040061,0,2.961986,356.521268,14.398387,21.166206
2021-08-12T23:53:26Z,0.456502,0.039996,0,2.964422,356.446006,14.399522,21.161892
2021-08-12T23:53:27Z,0.457472,0.040384,0,2.958606,356.446006,14.399987,21.157577
2021-08-12T23:53:27Z,0.457956,0.039867,0,2.959169,356.446006,14.400052,21.166206
