date_time,p_f,p_r,f_p,f_r,c_p,c_r,t_f
2021-08-13T06:11:29Z,0.885786,0.332055,1.93172,33.97853,532.930213,20.017612,21.144632
2021-08-13T06:11:29Z,0.88934,0.35803,1.924568,35.955174,533.011779,20.03254,21.101483
2021-08-13T06:11:30Z,0.945151,0.300523,1.94442,35.994691,532.661064,20.146879,21.101483
2021-08-13T06:11:30Z,0.920032,0.274871,1.931517,37.428121,532.145176,20.231475,21.127372
2021-08-13T06:11:30Z,0.920274,0.250123,1.917797,37.428121,531.895587,20.307011,21.118743
2021-08-13T06:11:31Z,0.924959,0.212065,1.915651,37.428121,531.732379,20.307011,21.136002
2021-08-13T06:11:31Z,0.92827,0.183893,1.915651,37.428121,531.666248,20.307011,21.123058
2021-08-13T06:11:32Z,0.929724,0.172392,1.992101,36.471842,533.218814,20.307011,21.131687
2021-08-13T06:11:32Z,0.931824,0.153977,2.156738,22.289904,532.151828,20.299539,21.123058
2021-08-13T06:11:33Z,0.936751,0.142475,2.156738,19.622957,532.051674,20.278281,21.118743
2021-08-13T06:11:33Z,0.937801,0.128454,2.156738,14.276304,531.703111,20.272421,21.118743
2021-08-13T06:11:33Z,0.940385,0.108682,2.184829,13.915516,532.278033,20.274948,21.088538
2021-08-13T06:11:34Z,0.942001,0.097116,2.184829,9.958365,531.581407,20.270326,21.118743
2021-08-13T06:11:34Z,0.946847,0.073531,2.159422,7.534502,535.805962,20.27371,21.097168
2021-08-13T06:11:35Z,0.95032,0.061513,2.162636,4.027337,536.041157,20.272727,21.118743
2021-08-13T06:11:35Z,0.788541,0.054793,2.165849,2.262513,536.276353,20.271745,21.118743
2021-08-13T06:11:35Z,0.687096,0.052402,2.121429,1.485106,529.549767,20.211592,21.118743
2021-08-13T06:11:36Z,0.618927,0.05027,2.177674,0.533236,540.140276,20.246671,21.123058
2021-08-13T06:11:36Z,0.567155,0.048784,0.690607,0.499208,529.577135,20.129703,21.127372
2021-08-13T06:11:36Z,0.534202,0.046975,0.690607,0.486447,529.173454,20.066524,21.123058
2021-08-13T06:11:37Z,0.502702,0.045424,0,0.448166,529.38177,20.066524,21.123058
2021-08-13T06:11:37Z,0.486387,0.044067,0,1.246006,529.498735,20.001308,21.123058
2021-08-13T06:11:38Z,0.481944,0.04355,0,1.69694,529.549767,20.001308,21.127372
2021-08-13T06:11:38Z,0.473383,0.042646,0,2.479093,529.380628,20.001308,21.118743
2021-08-13T06:11:39Z,0.468941,0.041935,0,2.645056,529.549767,19.936091,21.118743
2021-08-13T06:11:39Z,0.46676,0.041483,0,3.578744,529.549767,19.934053,21.123058
2021-08-13T06:11:39Z,0.463772,0.041612,0,3.578744,529.751363,19.866799,21.123058
2021-08-13T06:11:39Z,0.463691,0.041612,0,3.578744,529.549767,19.891455,21.118743
2021-08-13T06:11:40Z,0.463206,0.041289,0,3.578744,529.663925,19.822503,21.118743
2021-08-13T06:11:40Z,0.462075,0.040901,0,3.578744,529.83029,19.801582,21.118743
2021-08-13T06:11:40Z,0.461349,0.041224,0,3.332269,529.90592,19.801582,21.123058
2021-08-13T06:11:40Z,0.461591,0.040966,0,3.305937,529.926079,19.801582,21.127372
2021-08-13T06:11:41Z,0.460541,0.040966,0,3.289506,529.616965,19.801582,21.127372
2021-08-13T06:11:41Z,0.460379,0.040901,0,3.285252,529.926079,19.801582,21.123058
2021-08-13T06:11:41Z,0.459652,0.040966,0,3.263985,529.926079,19.801582,21.127372
2021-08-13T06:11:41Z,0.459975,0.040901,0,3.263985,530.166434,19.801582,21.123058
2021-08-13T06:11:42Z,0.460379,0.040836,0,3.263985,529.634152,19.811772,21.127372
2021-08-13T06:11:42Z,0.459652,0.040901,0,3.231457,529.835484,19.80362,21.123058
2021-08-13T06:11:42Z,0.459733,0.040707,0,3.250539,529.699359,19.811419,21.123058
2021-08-13T06:11:43Z,0.459895,0.040707,0,3.230144,529.63868,19.810588,21.127372
2021-08-13T06:11:43Z,0.459814,0.040513,0,3.227239,529.602032,19.808998,21.127372
2021-08-13T06:11:43Z,0.459168,0.040643,0,3.225552,529.697604,19.80937,21.127372
2021-08-13T06:11:43Z,0.458925,0.040578,0,3.221577,529.708804,19.809443,21.123058
2021-08-13T06:11:44Z,0.459652,0.040643,0,3.244746,529.985139,19.742739,21.123058
2021-08-13T06:11:44Z,0.459733,0.040513,0,3.245035,529.951675,19.738403,21.127372
2021-08-13T06:11:45Z,0.460622,0.040643,0,3.27237,530.302392,19.742169,21.127372
2021-08-13T06:11:45Z,0.461752,0.040707,0,3.27237,530.302392,19.742169,21.127372
2021-08-13T06:11:46Z,0.459733,0.040449,0,3.229349,530.011197,19.737639,21.127372
2021-08-13T06:11:46Z,0.460541,0.040578,0,3.213556,529.806934,19.734327,21.127372
2021-08-13T06:11:46Z,0.460702,0.04019,0,3.185121,529.561548,19.734327,21.123058
2021-08-13T06:11:47Z,0.460379,0.040643,0,3.190304,529.743363,19.732289,21.127372
2021-08-13T06:11:47Z,0.461187,0.040578,0,3.181921,529.580822,19.731846,21.131687
2021-08-13T06:11:48Z,0.460622,0.040061,0,3.192324,529.361122,19.731953,21.127372
2021-08-13T06:11:48Z,0.460702,0.040384,0,3.208803,529.4231,19.729314,21.123058
2021-08-13T06:11:48Z,0.461672,0.040643,0,3.191582,529.31819,19.72884,21.123058
2021-08-13T06:11:49Z,0.459895,0.04019,0,3.188574,529.305534,19.729415,21.123058
2021-08-13T06:11:49Z,0.462156,0.040513,0,3.186855,529.330251,19.729928,21.127372
2021-08-13T06:11:50Z,0.461268,0.040578,0,3.195234,529.384244,19.730096,21.127372
2021-08-13T06:11:50Z,0.462318,0.040384,0,3.190642,529.565033,19.733919,21.127372
2021-08-13T06:11:51Z,0.462641,0.040578,0,3.231069,529.549767,19.738041,21.127372
2021-08-13T06:11:51Z,0.462479,0.040513,0,3.212214,529.625029,19.739161,21.123058
2021-08-13T06:11:51Z,0.462399,0.040513,0,3.219808,529.80113,19.74248,21.127372
2021-08-13T06:11:52Z,0.462964,0.040126,0,3.234494,529.926079,19.74248,21.127372
2021-08-13T06:11:52Z,0.462722,0.04019,0,3.220522,529.864501,19.74248,21.123058
2021-08-13T06:11:52Z,0.463206,0.040384,0,3.191675,529.720818,19.736273,21.127372
2021-08-13T06:11:53Z,0.46256,0.039996,0,3.176897,529.795817,19.735712,21.127372
2021-08-13T06:11:53Z,0.462479,0.04032,0,3.166995,529.748261,19.73473,21.127372
2021-08-13T06:11:53Z,0.461995,0.040255,0,3.16822,529.807809,19.733978,21.123058
2021-08-13T06:11:53Z,0.46256,0.040449,0,3.161675,529.730604,19.732366,21.123058
2021-08-13T06:11:54Z,0.461833,0.040061,0,3.177163,529.804331,19.732004,21.123058
2021-08-13T06:11:54Z,0.463368,0.039932,0,3.176463,529.683044,19.728227,21.127372
2021-08-13T06:11:54Z,0.462399,0.04032,0,3.166801,529.6598,19.732003,21.123058
2021-08-13T06:11:55Z,0.462641,0.040061,0,3.160478,529.489381,19.732194,21.127372
2021-08-13T06:11:55Z,0.464014,0.04019,0,3.163351,529.69345,19.731918,21.123058
2021-08-13T06:11:55Z,0.462964,0.04032,0,3.171503,529.63595,19.731563,21.123058
2021-08-13T06:11:56Z,0.462883,0.04019,0,3.163656,529.989323,19.731963,21.123058
2021-08-13T06:11:56Z,0.462318,0.039996,0,3.146639,529.522125,19.72938,21.127372
2021-08-13T06:11:57Z,0.461672,0.040061,0,3.160793,529.755631,19.73208,21.123058
2021-08-13T06:11:57Z,0.463852,0.040255,0,3.121754,529.814501,19.732531,21.127372
2021-08-13T06:11:57Z,0.463448,0.040449,0,3.148536,529.56254,19.730251,21.123058
2021-08-13T06:11:57Z,0.463125,0.039932,0,3.15878,529.592129,19.732174,21.123058
2021-08-13T06:11:58Z,0.462641,0.040255,0,3.140956,529.492938,19.731215,21.123058
2021-08-13T06:11:58Z,0.46361,0.04019,0,3.145611,529.507257,19.732195,21.123058
2021-08-13T06:11:59Z,0.463045,0.04032,0,3.125774,529.445416,19.732289,21.127372
2021-08-13T06:11:59Z,0.462641,0.040255,0,3.108012,529.668748,19.730056,21.127372
2021-08-13T06:12:00Z,0.462156,0.040255,0,3.087915,529.92421,19.728213,21.127372
2021-08-13T06:12:00Z,0.463691,0.04032,0,3.071826,529.893413,19.728213,21.123058
2021-08-13T06:12:00Z,0.462722,0.039867,0,3.06407,529.926079,19.729662,21.123058
2021-08-13T06:12:01Z,0.463206,0.040255,0,3.059816,529.926079,19.731702,21.131687
2021-08-13T06:12:01Z,0.464095,0.040384,0,3.059816,529.926079,19.734327,21.123058
2021-08-13T06:12:02Z,0.463933,0.04019,0,3.059816,529.926079,19.734327,21.127372
2021-08-13T06:12:02Z,0.463529,0.040449,0,3.06913,529.926079,19.734327,21.127372
2021-08-13T06:12:02Z,0.463772,0.040126,0,3.061997,529.926079,19.734327,21.131687
2021-08-13T06:12:03Z,0.464014,0.04019,0,3.055563,529.926079,19.734327,21.131687
2021-08-13T06:12:03Z,0.464256,0.04032,0,3.047056,529.926079,19.734327,21.131687
2021-08-13T06:12:03Z,0.464014,0.040384,0,3.039166,529.926079,19.734327,21.131687
2021-08-13T06:12:04Z,0.463852,0.04032,0,3.036592,529.926079,19.734327,21.131687
2021-08-13T06:12:04Z,0.463852,0.040255,0,3.020875,529.926079,19.732598,21.131687
2021-08-13T06:12:04Z,0.464014,0.04032,0,3.013369,529.546816,19.729897,21.131687
2021-08-13T06:12:05Z,0.463772,0.04019,0,3.009528,529.515085,19.729875,21.136002
2021-08-13T06:12:05Z,0.464256,0.040449,0,3.006271,529.494827,19.729656,21.127372
2021-08-13T06:12:06Z,0.464337,0.040255,0,3.014379,529.840807,19.728198,21.140317
2021-08-13T06:12:06Z,0.464902,0.040449,0,3.012417,529.835486,19.7296,21.136002
2021-08-13T06:12:06Z,0.464579,0.040255,0,3.008901,529.878477,19.730225,21.136002
2021-08-13T06:12:07Z,0.465064,0.040255,0,3.015099,529.934945,19.729946,21.136002
2021-08-13T06:12:07Z,0.465064,0.040513,0,3.025033,529.517044,19.72983,21.140317
2021-08-13T06:12:07Z,0.464741,0.039932,0,3.019671,529.752296,19.731406,21.140317
2021-08-13T06:12:08Z,0.464822,0.04019,0,3.020178,529.776532,19.732175,21.140317
2021-08-13T06:12:08Z,0.465548,0.04032,0,3.03652,529.777105,19.735534,21.140317
2021-08-13T06:12:08Z,0.465629,0.040384,0,3.037764,529.549767,19.739372,21.144632
2021-08-13T06:12:08Z,0.466356,0.040126,0,3.022269,529.549767,19.769031,21.144632
2021-08-13T06:12:09Z,0.466114,0.040255,0,3.021894,529.549767,19.771313,21.144632
2021-08-13T06:12:09Z,0.466437,0.040126,0,3.036574,529.549767,19.796687,21.148947
2021-08-13T06:12:10Z,0.467083,0.040255,0,3.023191,529.549767,19.811772,21.144632
2021-08-13T06:12:10Z,0.467972,0.039932,0,2.995167,529.549767,19.811772,21.148947
2021-08-13T06:12:10Z,0.46781,0.040449,0,2.970797,529.549767,19.811772,21.148947
2021-08-13T06:12:11Z,0.467002,0.04032,0,3.041959,529.549767,19.811772,21.153262
2021-08-13T06:12:11Z,0.468214,0.040384,0,2.971691,529.549767,19.811772,21.153262
2021-08-13T06:12:11Z,0.468537,0.040449,0,2.967933,529.549767,19.811772,21.157577
2021-08-13T06:12:11Z,0.467245,0.04032,0,3.035486,529.549767,19.80577,21.153262
