date_time,p_f,p_r,f_p,f_r,c_p,c_r,ph_f,t_f
2021-06-02T08:29:21Z,-0.002,0.053,0.068,1.019,429.912,16.992,7.483,19.509
2021-06-02T08:29:22Z,-0.003,0.052,0.068,1.031,430.321,16.994,7.483,19.509
2021-06-02T08:29:22Z,0.688,0.053,0.068,1.023,429.912,16.994,7.484,19.509
2021-06-02T08:29:22Z,0.283,0.045,0.068,1.019,429.504,16.992,7.483,19.509
2021-06-02T08:29:22Z,0.164,0.052,0.068,1.064,429.912,16.992,7.484,19.509
2021-06-02T08:29:23Z,0.121,0.052,0.068,1.031,429.912,16.994,7.483,19.509
2021-06-02T08:29:23Z,0.094,0.052,0.068,1.031,430.321,16.994,7.484,19.509
2021-06-02T08:29:23Z,0.076,0.052,0.068,1.019,430.321,16.99,7.483,19.509
2021-06-02T08:29:23Z,0.063,0.052,0.068,1.031,429.504,16.996,7.483,19.509
2021-06-02T08:29:24Z,0.055,0.053,0.068,1.019,429.912,16.926,7.483,19.505
2021-06-02T08:29:24Z,0.048,0.052,0.068,1.019,429.912,16.926,7.483,19.509
2021-06-02T08:29:24Z,0.043,0.053,0.068,1.019,429.912,16.926,7.482,19.505
2021-06-02T08:29:24Z,0.038,0.053,0.068,1.019,430.729,16.928,7.483,19.509
2021-06-02T08:29:25Z,0.034,0.052,0.068,1.023,430.321,16.93,7.482,19.509
2021-06-02T08:29:25Z,0.031,0.053,0.068,0.994,429.912,16.928,7.483,19.505
2021-06-02T08:29:25Z,0.029,0.052,0.068,1.007,429.912,16.928,7.483,19.505
2021-06-02T08:29:25Z,0.026,0.053,0.068,0.999,430.321,16.926,7.483,19.505
2021-06-02T08:29:26Z,0.024,0.053,0.068,1.019,430.321,16.924,7.483,19.505
2021-06-02T08:29:26Z,0.022,0.052,0.068,1.023,430.321,16.928,7.483,19.505
2021-06-02T08:29:26Z,0.021,0.053,0.068,1.023,429.504,16.926,7.483,19.505
2021-06-02T08:29:26Z,0.019,0.052,0.068,1.015,430.321,16.93,7.484,19.509
2021-06-02T08:29:27Z,0.018,0.053,0.068,1.023,430.729,16.93,7.483,19.505
2021-06-02T08:29:27Z,0.017,0.053,0.068,1.003,430.321,16.93,7.483,19.505
2021-06-02T08:29:27Z,0.016,0.053,0.068,1.035,430.321,16.93,7.483,19.505
2021-06-02T08:29:27Z,0.015,0.053,0.068,0.966,429.504,16.93,7.483,19.505
2021-06-02T08:29:28Z,0.014,0.053,0.068,1.011,429.504,16.932,7.483,19.505
2021-06-02T08:29:28Z,0.013,0.053,0.068,1.015,429.504,16.93,7.483,19.505
2021-06-02T08:29:28Z,0.012,0.053,0.068,1.015,429.504,16.93,7.483,19.505
2021-06-02T08:29:28Z,0.012,0.053,0.068,1.015,430.321,16.93,7.484,19.505
2021-06-02T08:29:29Z,0.011,0.052,0.068,1.019,429.912,16.932,7.483,19.509
2021-06-02T08:29:29Z,0.01,0.053,0.068,1.015,429.095,16.932,7.484,19.505
2021-06-02T08:29:29Z,0.01,0.053,0.068,1.027,429.912,16.928,7.483,19.509
