date_time,p_f,p_r,f_p,f_r,c_p,c_r,t_f
2021-08-12T20:07:04Z,0.819233,0.397315,1.959069,38.513409,460.536293,15.054944,20.467194
2021-08-12T20:07:04Z,0.819394,0.392534,1.949568,38.71943,460.658917,15.071154,20.454249
2021-08-12T20:07:04Z,0.873832,0.362617,1.94465,38.729316,460.791532,15.071341,20.458564
2021-08-12T20:07:05Z,0.849925,0.333605,1.929754,39.417872,459.863891,15.114731,20.475824
2021-08-12T20:07:05Z,0.849602,0.30595,1.927615,39.281364,459.792621,15.136786,20.458564
2021-08-12T20:07:05Z,0.850894,0.280298,1.922305,39.388977,459.73353,15.142671,20.480139
2021-08-12T20:07:05Z,0.851621,0.258265,1.916062,39.495563,459.131014,15.142671,20.44562
2021-08-12T20:07:06Z,0.853479,0.236748,1.95056,38.977733,458.803012,15.144709,20.44562
2021-08-12T20:07:06Z,0.855659,0.203471,1.961662,38.993714,458.803012,15.144709,20.449935
2021-08-12T20:07:07Z,0.857921,0.190678,2.020153,31.172448,459.247575,15.144709,20.449935
2021-08-12T20:07:07Z,0.859375,0.166706,2.028841,27.720956,459.491268,15.144709,20.484454
2021-08-12T20:07:07Z,0.862202,0.153331,2.098054,20.903262,460.754914,15.144665,20.462879
2021-08-12T20:07:08Z,0.861717,0.146481,2.089544,17.747163,461.247093,15.139872,20.44562
2021-08-12T20:07:08Z,0.864544,0.140408,2.077119,17.189954,461.173773,15.139213,20.462879
2021-08-12T20:07:08Z,0.864221,0.134722,2.095346,15.93517,461.234392,15.138862,20.458564
2021-08-12T20:07:09Z,0.864544,0.125934,2.135883,13.659546,460.164495,15.112901,20.441305
2021-08-12T20:07:09Z,0.868017,0.103577,2.096946,11.33288,460.06784,15.077002,20.449935
2021-08-12T20:07:09Z,0.868986,0.091171,2.130512,8.023489,460.453476,15.077947,20.458564
2021-08-12T20:07:10Z,0.736042,0.07295,2.173988,7.586916,460.379243,15.080758,20.475824
2021-08-12T20:07:10Z,0.622643,0.065067,2.152062,5.889988,460.372179,15.073837,20.475824
2021-08-12T20:07:10Z,0.569093,0.060867,2.1773,4.634498,460.529868,15.061151,20.475824
2021-08-12T20:07:10Z,0.534848,0.057378,2.180141,0.618306,448.266262,14.912375,20.471509
2021-08-12T20:07:11Z,0.510779,0.054664,2.180141,0.520475,448.266262,14.912375,20.471509
2021-08-12T20:07:11Z,0.48881,0.052726,2.180141,0.490701,448.266262,14.912375,20.471509
2021-08-12T20:07:11Z,0.473464,0.051046,2.180141,0.490701,448.266262,14.855311,20.475824
2021-08-12T20:07:11Z,0.462156,0.04943,2.180141,0.490701,447.889949,14.851235,20.475824
2021-08-12T20:07:12Z,0.454322,0.048719,0,1.552101,448.481297,14.851235,20.475824
2021-08-12T20:07:12Z,0.450445,0.047233,0,3.902982,447.990299,14.851235,20.467194
2021-08-12T20:07:12Z,0.449476,0.046587,0,3.144886,448.30658,14.851235,20.471509
2021-08-12T20:07:12Z,0.446891,0.046264,0,3.144886,448.091545,14.804069,20.471509
2021-08-12T20:07:13Z,0.446326,0.045876,0,3.242717,448.051226,14.792132,20.471509
2021-08-12T20:07:13Z,0.443337,0.045359,0,3.242717,448.29591,14.792132,20.471509
2021-08-12T20:07:13Z,0.443095,0.045295,0,3.242717,448.241174,14.744714,20.471509
2021-08-12T20:07:14Z,0.442126,0.044843,0,3.242717,448.249157,14.7397,20.475824
2021-08-12T20:07:14Z,0.442126,0.044261,0,3.242717,448.216087,14.726916,20.471509
2021-08-12T20:07:14Z,0.44043,0.043679,0,3.12184,448.129421,14.661699,20.471509
2021-08-12T20:07:15Z,0.441237,0.043744,0,3.067434,448.155079,14.661699,20.471509
2021-08-12T20:07:15Z,0.440187,0.043679,0,3.20551,448.146338,14.661699,20.471509
2021-08-12T20:07:15Z,0.440591,0.04355,0,3.172838,448.169496,14.661699,20.475824
2021-08-12T20:07:15Z,0.44051,0.043356,0,2.986525,447.987543,14.661699,20.467194
2021-08-12T20:07:16Z,0.440349,0.043421,0,2.96628,448.06489,14.661699,20.467194
2021-08-12T20:07:16Z,0.439541,0.043227,0,2.89393,448.266262,14.659661,20.467194
2021-08-12T20:07:16Z,0.440268,0.043292,0,2.89393,448.247446,14.659661,20.475824
2021-08-12T20:07:17Z,0.441237,0.042904,0,2.903451,448.125035,14.659661,20.467194
2021-08-12T20:07:17Z,0.441399,0.042969,0,2.888565,447.944506,14.659661,20.471509
2021-08-12T20:07:18Z,0.440591,0.042904,0,2.879415,447.838604,14.659661,20.467194
2021-08-12T20:07:18Z,0.441722,0.042969,0,2.87236,447.947608,14.659661,20.471509
2021-08-12T20:07:19Z,0.442045,0.042969,0,2.862299,448.136263,14.665108,20.475824
2021-08-12T20:07:19Z,0.442691,0.042904,0,2.866669,448.300472,14.665497,20.467194
2021-08-12T20:07:19Z,0.442287,0.042969,0,2.864457,448.579513,14.665775,20.475824
2021-08-12T20:07:20Z,0.443337,0.04271,0,2.854729,448.796743,14.667654,20.471509
2021-08-12T20:07:20Z,0.442368,0.04284,0,2.839569,448.429054,14.666603,20.471509
2021-08-12T20:07:20Z,0.443499,0.042969,0,2.832221,448.264342,14.666612,20.471509
2021-08-12T20:07:21Z,0.443822,0.04271,0,2.834381,448.386875,14.666977,20.471509
2021-08-12T20:07:21Z,0.443903,0.043033,0,2.83826,448.257991,14.666268,20.471509
2021-08-12T20:07:21Z,0.443741,0.042904,0,2.839802,448.060769,14.66459,20.471509
2021-08-12T20:07:22Z,0.444953,0.042969,0,2.841343,448.056782,14.664895,20.471509
2021-08-12T20:07:22Z,0.445114,0.042969,0,2.838697,448.183252,14.664516,20.471509
2021-08-12T20:07:22Z,0.445437,0.04284,0,2.833615,448.167576,14.664468,20.471509
2021-08-12T20:07:23Z,0.446406,0.04271,0,2.833635,448.129821,14.665334,20.471509
2021-08-12T20:07:23Z,0.445356,0.042904,0,2.838125,448.132612,14.66528,20.471509
2021-08-12T20:07:23Z,0.446406,0.042969,0,2.852132,448.159959,14.66538,20.471509
2021-08-12T20:07:24Z,0.446406,0.042969,0,2.852185,448.182658,14.665463,20.471509
2021-08-12T20:07:24Z,0.447214,0.042775,0,2.87018,448.260886,14.665849,20.471509
2021-08-12T20:07:24Z,0.447053,0.042775,0,2.876531,448.175991,14.665857,20.471509
2021-08-12T20:07:25Z,0.448264,0.042646,0,2.882508,448.198747,14.665863,20.471509
2021-08-12T20:07:25Z,0.448183,0.042904,0,2.878605,448.132062,14.664948,20.471509
2021-08-12T20:07:25Z,0.447941,0.04284,0,2.879543,448.130679,14.664921,20.471509
2021-08-12T20:07:25Z,0.449072,0.042969,0,2.872026,448.036358,14.664065,20.471509
2021-08-12T20:07:26Z,0.447941,0.042775,0,2.879123,448.119042,14.664624,20.471509
2021-08-12T20:07:26Z,0.44891,0.04284,0,2.871284,448.159923,14.664854,20.467194
2021-08-12T20:07:27Z,0.449395,0.042904,0,2.870641,448.18279,14.665424,20.475824
2021-08-12T20:07:27Z,0.450364,0.04271,0,2.870916,448.130758,14.665505,20.475824
2021-08-12T20:07:27Z,0.449314,0.04284,0,2.866473,448.062607,14.665644,20.475824
2021-08-12T20:07:28Z,0.450445,0.04271,0,2.860256,448.134539,14.665596,20.475824
2021-08-12T20:07:28Z,0.449799,0.04271,0,2.865531,447.942032,14.665429,20.471509
2021-08-12T20:07:28Z,0.44996,0.042904,0,2.867096,448.030361,14.665806,20.475824
2021-08-12T20:07:28Z,0.449799,0.042904,0,2.865265,448.223453,14.664586,20.471509
2021-08-12T20:07:29Z,0.451172,0.04284,0,2.876447,448.044068,14.665559,20.471509
2021-08-12T20:07:29Z,0.450929,0.042581,0,2.889221,448.006791,14.665672,20.475824
2021-08-12T20:07:29Z,0.452141,0.042904,0,2.882357,448.060999,14.666673,20.471509
2021-08-12T20:07:29Z,0.45206,0.042904,0,2.885748,448.025357,14.66662,20.471509
2021-08-12T20:07:30Z,0.451495,0.04284,0,2.888515,447.919894,14.666985,20.471509
2021-08-12T20:07:30Z,0.452383,0.042516,0,2.890752,447.798801,14.667098,20.475824
2021-08-12T20:07:31Z,0.453837,0.042904,0,2.887081,447.797341,14.666195,20.475824
2021-08-12T20:07:31Z,0.453191,0.04271,0,2.876825,447.866839,14.666197,20.480139
2021-08-12T20:07:31Z,0.453918,0.042452,0,2.843414,448.133393,14.664896,20.475824
2021-08-12T20:07:32Z,0.453433,0.042323,0,2.88169,447.756972,14.666014,20.475824
2021-08-12T20:07:32Z,0.453837,0.042646,0,2.868285,448.086532,14.665118,20.475824
2021-08-12T20:07:32Z,0.454645,0.042969,0,2.868596,448.080173,14.664722,20.480139
2021-08-12T20:07:33Z,0.455129,0.04284,0,2.852529,448.266262,14.664145,20.480139
2021-08-12T20:07:33Z,0.456341,0.042387,0,2.885142,448.336562,14.664543,20.475824
2021-08-12T20:07:33Z,0.455695,0.042969,0,2.892728,448.642574,14.665033,20.480139
